Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
Maldives,MDV,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,15.3869685099846
Mali,MLI,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,582.074857964167
Malta,MLT,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.88519075860848
Marshall Islands,MHL,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1
Mauritania,MRT,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,357.493333333333
Mauritius,MUS,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,34.4814083333333
Mexico,MEX,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,18.926517
"Micronesia, Federated States of",FSM,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1
Middle East & North Africa (ICP),MEB,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,..
Moldova,MDA,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,18.4902
Mongolia,MNG,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,2439.77723707259
Montenegro,MNE,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.88519075860848
Montserrat,MSR,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,2.7
Morocco,MAR,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,9.691
Mozambique,MOZ,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,63.584322913399
Myanmar,MMR,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1360.35870704085
Namibia,NAM,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,13.3129
Nauru,NRU,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1.30475807671592
Nepal,NPL,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,104.511885242863
Netherlands,NLD,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.88519075860848
New Caledonia,NCL,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,105.89464283496
New Zealand,NZL,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1.407408
Nicaragua,NIC,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,30.0509359528969
Niger,NER,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,582.074857964167
Nigeria,NGA,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,305.790109160005
Niue,NIU,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1.407408
North America (ICP),NAB,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,..
North Macedonia,MKD,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,54.5053554040896
Northern Mariana Islands,MNP,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1
Norway,NOR,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,8.25617420554129
Oman,OMN,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.3845
Pakistan,PAK,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,105.455162087938
Palau,PLW,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1
Panama,PAN,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1
Papua New Guinea,PNG,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,3.18878838289617
Paraguay,PRY,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,5562.27599535747
Peru,PER,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,3.26
Philippines,PHL,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,50.4037197937177
Poland,POL,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,3.7682570593963
Portugal,PRT,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.88519075860848
Puerto Rico,PRI,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1
Qatar,QAT,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,3.65
Romania,ROU,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,4.04425953793042
Russian Federation,RUS,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,58.342801
Rwanda,RWA,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,831.530786891955
Samoa,WSM,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,2.55437711641037
San Marino,SMR,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.887397421095652
S�o Tom� and Principe,STP,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,21.7411383607116
Saudi Arabia,SAU,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,3.75
Senegal,SEN,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,582.074857964167
Serbia,SRB,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,107.40612552005
Seychelles,SYC,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,13.6478416666667
Sierra Leone,SLE,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,7384.43222248692
Singapore,SGP,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1.380925
Sint Maarten,SXM,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1.79
